largest_property_use_type_-_gross_floor_area_(ft),energy_star_score,source_eui_(kbtu/ft),weather_normalized_source_eui_(kbtu/ft),site_eui_(kbtu/ft),weather_normalized_site_eui_(kbtu/ft),weather_normalized_site_electricity_intensity_(kwh/ft),weather_normalized_site_natural_gas_intensity_(therms/ft),natural_gas_use_(kbtu),weather_normalized_site_natural_gas_use_(therms),electricity_use_-_grid_purchase_(kwh),weather_normalized_site_electricity_(kwh),total_ghg_emissions_(metric_tons_co2e),direct_ghg_emissions_(metric_tons_co2e),indirect_ghg_emissions_(metric_tons_co2e),occupancy,number_of_buildings,self-reported_gross_floor_area_(ft),age,primary_property_type_-_self_selected,postal_code,largest_property_use_type,metered_areas_(energy),borough,AddressNumber,StreetName,label_for_target_var
106335.0,55.0,120.9,130.0,92.4,101.6,3.7,0.0,298612.1,3030.9,401929.5,398196.8,751.2,629.6,121.6,100,1,106335,94,Multifamily Housing,10452,Multifamily Housing,Whole Building,Bronx,1175-1185,Anderson,1
108231.0,70.0,139.3,,66.0,,11.8,0.0,4363.6,46.3,1346328.4,1333961.4,605.9,216.8,389.0,100,1,113231,100,Office,10016,Office,Whole Building,Manhattan,271,Madison,2
28279.0,30.0,136.3,143.5,100.2,106.9,5.2,0.9,2328631.1,25207.5,147607.8,147607.8,166.3,123.7,42.7,100,1,28279,101,Multifamily Housing,10457,Multifamily Housing,Whole Building,Bronx,1899,Belmont,0
73632.0,46.0,104.5,109.9,72.3,77.1,4.9,0.6,4118451.7,44558.5,352850.3,357455.7,320.7,218.8,102.0,100,1,73632,28,Multifamily Housing,10456,Multifamily Housing,Whole Building,Bronx,280,170th,1
29300.0,53.0,136.2,141.8,92.0,97.2,5.6,0.8,2142846.6,22907.1,162414.8,163429.8,162.9,113.8,49.1,90,1,29300,95,Multifamily Housing,10457,Multifamily Housing,Whole Building,Bronx,2028,Washington,1
135250.0,33.0,137.9,143.5,105.3,110.9,5.1,0.1,734926.6,7588.2,692223.3,692017.2,1066.4,866.4,200.0,100,1,135250,53,Multifamily Housing,10461,Multifamily Housing,Whole Building,Bronx,3121,Middletown,1
30000.0,18.0,130.2,137.5,102.0,108.7,3.9,1.0,2662499.9,28587.7,116098.0,117577.3,175.0,141.4,33.5,100,1,30000,83,Multifamily Housing,11229,Multifamily Housing,NA,Brooklyn,2300,Kings,0
72000.0,7.0,169.2,,122.5,,,,7147201.5,,489280.0,,521.0,379.6,141.4,100,1,72000,103,College/University,11205,K-12 School,Whole Building,Brooklyn,369,Dekalb,0
26433.0,13.0,147.3,155.0,114.8,122.0,4.5,1.1,2629658.7,28178.2,118610.8,119254.1,173.9,139.7,34.3,100,1,26433,96,Multifamily Housing,11372,Multifamily Housing,Whole Building,Queens,9505,35th,0
449668.0,39.0,113.0,115.0,67.3,70.0,5.8,0.5,21133775.8,225567.1,2670604.5,2616706.6,1930.4,1122.5,807.9,100,1,449668,63,Multifamily Housing,10128,Multifamily Housing,Whole Building,Manhattan,180,End,1
99362.0,74.0,97.1,99.6,60.5,63.2,5.6,0.4,4098215.0,43961.6,559272.2,553192.0,379.3,217.7,161.6,100,1,99362,15,Multifamily Housing,10451,Multifamily Housing,Whole Building,Bronx,384,158th,2
93600.0,34.0,123.0,126.7,92.1,96.1,4.0,0.1,554687.0,5577.9,382531.9,378283.5,654.2,538.5,115.7,100,1,93600,83,Multifamily Housing,10458,Multifamily Housing,Whole Building,Bronx,266,Park,1
